name,lat,lon,type
Clark St & Lake St,41.88602082773,-87.6308760584,bike
South Shore Dr & 67th St,41.773643,-87.567514,bike
Karlov Ave & Lawrence Ave,41.967947,-87.730409,bike
Ridge Blvd & Touhy Ave,42.01213227742,-87.6829126443,bike
McCormick Blvd & Devon Ave,41.9972,-87.71105,bike
Franklin St & Lake St,41.885837,-87.6355,bike
Damen Ave & Charleston St,41.920082,-87.677855,bike
Southport Ave & Wrightwood Ave,41.928773,-87.663913,bike
Yates Blvd & 93rd St,41.726166390245105,-87.5662761926651,bike
Bosworth Ave & Howard St,42.019537,-87.669563,bike
Halsted St & 78th St,41.75248701249013,-87.6439021574879,bike
Green St & Washington Blvd,41.88318130597391,-87.64872461557388,bike
Wallace St & Pershing Rd,41.82339,-87.64118,bike
Federal St & Polk St,41.87207763285,-87.6295437729,bike
Western Ave & 79th St,41.750843,-87.682701,bike
Canal St & Adams St,41.879255,-87.639904,bike
Southport Ave & Clybourn Ave,41.9215759,-87.6664335,bike
University Library (NU),42.052939,-87.673447,bike
Eckhart Park,41.89637337,-87.66098386,bike
Rainbow - Beach,41.75787096522547,-87.54917675279042,bike
Stony Island Ave & South Chicago Ave,41.751173,-87.585337,bike
Loomis St & 89th St,41.73237975329554,-87.65806943178177,bike
Halsted St & 104th St,41.70513978893236,-87.6424241065979,bike
Calumet Park,41.71370983035615,-87.53084421157837,bike
Racine Ave & Wrightwood Ave,41.928887,-87.658971,bike
Dodge Ave & Main St,42.03463185161588,-87.69918769598006,bike
Bernard St & Elston Ave,41.949923,-87.713949,bike
Sacramento Ave & Lunt Ave,42.0082,-87.70461,bike
Wabash Ave & Roosevelt Rd,41.867227,-87.625961,bike
Central Ave & Altgeld St,41.9258119,-87.7663685,bike
DuSable Museum,41.79156801058,-87.6078521774,bike
Ashland Ave & McDowell Ave,41.809719,-87.663477,bike
Jefferson St & Monroe St,41.880329633634624,-87.64274597167967,bike
Ashland Ave & 66th St,41.774074,-87.663815,bike
Peoria St & Jackson Blvd,41.8776415962753,-87.64961779117584,bike
Vernon Ave & 75th St,41.758361,-87.614138,bike
Central Park Ave & 66th St,41.773258,-87.713143,bike
Central Park Ave & 24th St,41.8481,-87.715068,bike
Burnham Harbor,41.85741178707404,-87.61379152536392,bike
Wells St & Walton St,41.89993001,-87.63443007,bike
Woodlawn Ave & 55th St,41.795264,-87.596471,bike
Halsted St & 47th Pl,41.80813391481,-87.6456165545,bike
Laramie Ave & Addison St,41.9456842,-87.7569344,bike
Ashland Ave & Archer Ave,41.83920868403,-87.6656098589,bike
Ashland Ave & 50th St,41.803023,-87.664699,bike
Dearborn St & Monroe St,41.881319815,-87.6295209193,bike
Daley Center Plaza,41.884241,-87.629634,bike
St Louis Ave & Foster Ave,41.9759837,-87.7159844,bike
Narragansett Ave & North Ave,41.9095,-87.78491,bike
Morgan St & Polk St,41.871737,-87.65103,bike
Noble St & Milwaukee Ave,41.9007,-87.662607,bike
Ashland Ave & 13th St,41.865234,-87.666507,bike
University Ave & 65th St,41.77694,-87.59842,bike
Canal St & Jackson Blvd,41.878125,-87.639968,bike
Michigan Ave & Lake St,41.886022,-87.624398,bike
Ravenswood Ave & Berteau Ave,41.957921,-87.673567,bike
Greenwood Ave & 91st St,41.728264268162725,-87.59729862213135,bike
Woodlawn Ave & 75th St,41.75916,-87.595751,bike
Kimball Ave & Belmont Ave,41.93939395344302,-87.71206766366959,bike
Rockwell St & Eastwood Ave,41.96590013976,-87.6936384935,bike
Central Ave & Lake St,41.887664,-87.765469,bike
Archer Ave & Homan Ave,41.81153,-87.70885,bike
Marmora Ave & Belmont Ave,41.9382897,-87.7737692,bike
Griffin Museum of Science and Industry,41.79172820953,-87.583945009,bike
Burnham Greenway & 105th St,41.7045750872071,-87.52823173999786,bike
Halsted St & 63rd St,41.77938114228,-87.6446208145,bike
Morgan St & Pershing Rd,41.823613,-87.650931,bike
Paulina St & Howard St,42.019159,-87.673573,bike
Broadway & Argyle St,41.97423,-87.6597735,bike
Halsted St & 93rd St,41.72489,-87.64358,bike
Western Ave & 81st St,41.746426,-87.683123,bike
Western Ave & Leland Ave,41.9657412,-87.6892286,bike
Damen Ave & 87th St,41.736044,-87.672861,bike
Central Park Ave & North Ave,41.90965687563,-87.7166319516,bike
Dodge Ave & Church St,42.048308,-87.698224,bike
California Ave & Milwaukee Ave,41.922695,-87.697153,bike
Rockwell St & 47th St,41.80853,-87.68942,bike
Damen Ave & 77th St,41.75420305676257,-87.67322449999999,bike
Aberdeen St & 103rd St,41.70704,-87.65022,bike
Vincennes Ave & 79th St,41.7506,-87.63409,bike
St. Clair St & Erie St,41.89434513742426,-87.62279838323593,bike
LaSalle Dr & Huron St,41.894877,-87.632326,bike
Marshfield Ave & 44th St,41.81385,-87.66639,bike
Sawyer Ave & Irving Park Rd,41.9536,-87.70931,bike
Mason Ave & Grand Ave,41.9204347,-87.7743901,bike
Homan Ave & 77th St,41.75374,-87.70751,bike
Greenview Ave & Diversey Pkwy,41.93258963429789,-87.66593635082245,bike
Halsted St & Dickens Ave,41.919936,-87.64883,bike
Woodlawn Ave & 58th St,41.789381,-87.596479,bike
Laflin St & Cullerton St,41.85491457576575,-87.66355991363525,bike
California Ave & Cortez St,41.900363,-87.696704,bike
Damen Ave & 81st St,41.746534,-87.673055,bike
Chicago State University,41.71896342165455,-87.60829567909241,bike
South Chicago Ave & 83rd St,41.743921,-87.575225,bike
Wood St & 84th St,41.741192,-87.668106,bike
Streeter Dr & Grand Ave,41.892278,-87.612043,bike
Stony Island Ave & 90th St,41.731394943302355,-87.58574366569519,bike
Loomis St & Archer Ave,41.84163253965,-87.6574349533,bike
Rhodes Ave & 71st St,41.766,-87.611726,bike
Kedzie Ave & 48th Pl,41.804758123768394,-87.70421936879356,bike
Damen Ave & Division St,41.903266,-87.678435,bike
Torrence Ave & 126th Pl,41.66631200825726,-87.55721569061278,bike
Merrimac Park,41.95261,-87.78535,bike
Clark St & Grace St,41.95078,-87.659172,bike
Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,bike
Newcastle Ave & Irving Park Rd,41.95256,-87.79755,bike
Racine Ave & Washington Blvd,41.883073,-87.656952,bike
Cicero Ave & Lake St,41.886841,-87.745261,bike
Lavergne Ave & Lawrence Ave,41.96775,-87.75259,bike
Torrence Ave & 106th St,41.702800850225906,-87.55972623825073,bike
Edgebrook Metra,41.99751,-87.76539,bike
California Ave & North Ave,41.910044,-87.697167,bike
Clark St & Wellington Ave,41.9364968219,-87.6475386582,bike
Kedzie Ave & Chicago Ave,41.89546530305,-87.7061278837,bike
California Ave & 71st St,41.764748,-87.693121,bike
Shedd Aquarium,41.86722595682,-87.6153553902,bike
Commercial Ave & 100th St,41.71331739547703,-87.55109757184982,bike
Clark St & 9th St (AMLI),41.870816,-87.631246,bike
Washtenaw Ave & Lawrence Ave,41.9687297,-87.6962603,bike
